"country","who_region","gavi73","wuenic"
"AFG","EMR",1,1
"ALB","EUR",0,1
"AGO","AFR",1,1
"ARM","EUR",1,1
"AZE","EUR",1,1
"BGD","SEAR",1,1
"BLZ","AMR",0,1
"BEN","AFR",1,1
"BTN","SEAR",1,1
"BOL","AMR",1,1
"BIH","EUR",0,1
"BFA","AFR",1,1
"BDI","AFR",1,1
"KHM","WPR",1,1
"CMR","AFR",1,1
"CPV","AFR",0,1
"CAF","AFR",1,1
"TCD","AFR",1,1
"CHN","SEAR",0,1
"COM","AFR",1,1
"COD","AFR",1,1
"COG","AFR",1,1
"CIV","AFR",1,1
"CUB","AMR",1,1
"DJI","EMR",1,1
"EGY","EMR",0,1
"SLV","AMR",0,1
"ERI","AFR",1,1
"ETH","AFR",1,1
"FJI","WPR",0,1
"GMB","AFR",1,1
"GEO","EUR",1,1
"GHA","AFR",1,1
"GTM","AMR",0,1
"GIN","AFR",1,1
"GNB","AFR",1,1
"GUY","AMR",1,1
"HTI","AMR",1,1
"HND","AMR",1,1
"IND","SEAR",1,1
"IDN","SEAR",1,1
"IRQ","EMR",0,1
"KEN","AFR",1,1
"KIR","WPR",1,1
"PRK","SEAR",1,1
"XK","EUR",0,0
"KGZ","EUR",1,1
"LAO","WPR",1,1
"LSO","AFR",1,1
"LBR","AFR",1,1
"MDG","AFR",1,1
"MWI","AFR",1,1
"MLI","AFR",1,1
"MHL","WPR",0,1
"MRT","AFR",1,1
"FSM","WPR",0,1
"MDA","EUR",1,1
"MNG","WPR",1,1
"MAR","EMR",0,1
"MOZ","AFR",1,1
"MMR","SEAR",1,1
"NPL","SEAR",1,1
"NIC","AMR",1,1
"NER","AFR",1,1
"NGA","AFR",1,1
"PAK","EMR",1,1
"PNG","WPR",1,1
"PRY","AMR",0,1
"PHL","WPR",0,1
"RWA","AFR",1,1
"WSM","WPR",0,1
"STP","AFR",1,1
"SEN","AFR",1,1
"SLE","AFR",1,1
"SLB","WPR",1,1
"SOM","EMR",1,1
"LKA","SEAR",1,1
"SDN","EMR",1,1
"SSD","AFR",1,1
"SWZ","AFR",0,1
"SYR","EMR",0,1
"TJK","EUR",1,1
"TZA","AFR",1,1
"TLS","SEAR",1,1
"TGO","AFR",1,1
"TON","WPR",0,1
"TKM","EUR",0,1
"TUV","WPR",0,1
"UGA","AFR",1,1
"UKR","EUR",1,1
"UZB","EUR",1,1
"VUT","WPR",0,1
"VNM","WPR",1,1
"PSE","EMR",0,0
"YEM","EMR",1,1
"ZMB","AFR",1,1
"ZWE","AFR",1,1
